OBJECTID,POP1990,POP2000,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,YEAR,COUNTY,COUNTYNAME,POP2010
1084,12029,12369,163,4,5,26,23,105,855657,75,4,7,34,32,2,3,0,0,0,0,4,4,2,0,0,0,0,2,2,3,0,1,0,1,3,3,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,7,1,1,1,1,7,8,5,1,0,1,0,6,7,13,19,11,12,13,21,11,7,14,10,18,14,2,6,3,22,17,12,9,14,32,16,18,12,2011,38,Grundy,0
1085,7991,7909,99,3,2,11,13,70,488211,37,3,2,18,15,2,2,0,0,0,0,2,2,1,0,0,0,0,1,1,2,0,0,0,0,2,2,2,1,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,10,0,0,0,0,13,13,9,0,0,0,0,12,12,16,14,5,5,11,5,3,8,2,9,9,12,2,4,5,10,4,9,9,16,16,6,10,8,2011,98,Worth,0
1086,10928,10874,84,1,2,12,14,55,720375,34,1,3,14,16,1,4,0,0,0,0,4,4,4,0,0,0,0,4,4,5,0,1,0,1,6,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,11,11,9,0,0,0,0,9,9,14,5,2,8,7,5,8,4,5,7,5,14,7,1,2,3,10,6,8,15,7,13,8,4,2011,66,Mitchell,0
1087,13855,14675,154,1,4,12,27,110,755400,54,1,4,20,28,2,13,0,1,0,1,12,12,11,0,1,0,1,10,10,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,4,0,0,0,0,4,4,15,11,7,12,13,17,9,10,14,11,13,22,6,5,6,17,14,14,16,16,18,9,19,14,2011,3,Allamakee,0
1167,19444,20221,298,2,12,15,48,221,1704553,109,2,13,22,65,9,15,0,3,0,3,15,15,13,0,3,0,3,12,12,5,0,3,0,4,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,17,22,1,1,1,1,39,40,14,0,1,0,1,30,30,22,25,29,14,24,18,22,13,31,28,41,31,65,4,11,30,20,13,15,16,39,29,29,27,2012,53,Jones,0
1168,19950,20296,173,2,17,16,28,110,879545,88,2,20,22,46,0,20,1,5,1,5,21,22,16,1,3,1,3,18,19,9,1,2,1,2,7,8,0,0,0,0,0,0,0,3,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,2,0,0,0,0,2,2,11,8,14,14,11,16,15,23,18,15,10,18,8,9,4,16,16,17,7,21,25,21,17,12,2012,49,Jackson,0
1169,19054,18678,224,7,5,24,32,156,1245867,97,7,8,40,49,0,12,1,1,1,1,13,14,11,1,1,1,1,12,13,9,1,2,1,2,11,12,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,2,0,28,30,13,1,0,1,0,13,14,22,18,18,11,17,31,20,17,14,17,21,18,8,8,13,25,15,17,15,19,30,20,35,19,2012,22,Clayton,0
1170,86403,89143,1862,5,29,137,284,1407,10063461,596,5,38,181,357,20,127,2,8,2,14,132,134,113,2,6,2,12,118,120,37,2,5,2,5,35,37,24,0,3,0,3,22,22,16,0,1,0,1,17,17,5,0,0,0,0,5,5,5,0,0,0,0,11,11,113,1,1,1,1,117,118,57,1,0,1,0,58,59,189,156,140,114,151,143,132,153,129,197,170,188,67,46,63,141,163,209,235,263,301,183,110,81,2012,31,Dubuque,0
1171,8114,8016,126,2,2,8,17,97,597355,45,2,3,12,27,3,7,1,0,1,0,9,10,5,1,0,1,0,7,8,3,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,4,0,0,0,0,4,4,17,11,13,7,7,10,12,7,10,8,14,10,8,2,5,16,8,7,16,14,17,14,13,6,2012,68,Monroe,0
1172,30001,32052,444,3,14,37,73,317,2306696,172,3,15,48,90,19,21,1,3,1,4,19,20,15,1,2,1,2,14,15,7,1,0,1,0,8,9,3,1,0,1,0,3,4,1,0,0,0,0,1,1,2,0,0,0,0,12,12,0,0,0,0,0,0,0,20,0,1,0,1,19,19,9,0,1,0,1,8,8,38,40,27,32,39,18,38,24,34,48,68,38,11,6,17,52,34,37,42,59,71,56,33,26,2012,63,Marion,0
